date,stationID,number_of_users,average_power_usage
2019-10-10,2-39-123-23,1,2.42487900466563
2019-10-10,2-39-128-18,1,0.996064163581879
2019-10-10,2-39-129-17,1,0.567198842714361
2019-10-10,2-39-78-360,1,3.76091936882261
2019-10-10,2-39-78-361,1,0.0996059134563505
2019-10-10,2-39-78-363,1,0.11795002282063
2019-10-10,2-39-78-364,1,2.6734442124797
2019-10-10,2-39-78-365,1,3.66920455885243
2019-10-10,2-39-78-366,1,0.0473544855549924
2019-10-10,2-39-78-367,2,0.161842793570789
2019-10-10,2-39-79-377,1,3.44766270978305
2019-10-10,2-39-79-379,1,5.46618314350797
2019-10-10,2-39-79-380,1,0.127857142857143
2019-10-10,2-39-79-383,1,2.64191030889468
2019-10-10,2-39-88-24,1,1.19670141110066
2019-10-10,2-39-88-438,1,5.73856210003918
2019-10-10,2-39-89-25,1,0.163773796192609
2019-10-10,2-39-89-439,1,3.30014541418066
2019-10-10,2-39-90-26,1,0.0202632434189145
2019-10-10,2-39-90-440,1,1.50720362463663
2019-10-10,2-39-91-437,1,5.88508283555236
2019-10-10,2-39-92-436,2,3.22237741062595
2019-10-10,2-39-92-442,1,1.41386493302696
2019-10-10,2-39-95-27,1,0.265621645274212
2019-10-10,2-39-95-444,1,1.19999246041719
2019-10-11,2-39-123-23,1,1.13676370336251
2019-10-11,2-39-126-20,1,0.862029795158287
2019-10-11,2-39-128-18,1,2.56832752084913
2019-10-11,2-39-131-30,3,1.50471430668076
2019-10-11,2-39-138-29,1,2.19497682264926
2019-10-11,2-39-139-28,2,2.39357072807129
2019-10-11,2-39-78-362,1,0.097371980104216
2019-10-11,2-39-78-363,1,2.19010232173993
2019-10-11,2-39-78-364,1,4.27825959236962
2019-10-11,2-39-78-365,1,0.920188461538462
2019-10-11,2-39-78-366,1,3.61231192780539
2019-10-11,2-39-78-367,2,0.514165179288431
2019-10-11,2-39-79-376,1,3.47376132176394
2019-10-11,2-39-79-379,1,2.7500212110845
2019-10-11,2-39-79-380,3,0.32537801017558
2019-10-11,2-39-79-382,1,0.0694234313449635
2019-10-11,2-39-88-24,1,0.188847225260702
2019-10-11,2-39-89-25,3,1.87048116120276
2019-10-11,2-39-90-26,1,1.22708171521036
2019-10-11,2-39-90-440,1,0.989119089537223
2019-10-11,2-39-91-437,3,1.41611468301639
2019-10-11,2-39-91-441,2,2.17007893780056
2019-10-11,2-39-92-442,1,2.25355148984938
2019-10-11,2-39-95-27,1,0.197241674447557
2019-10-11,2-39-95-444,1,5.86295354801938
2019-10-12,2-39-124-22,1,4.04213279157817
2019-10-12,2-39-127-19,1,0.626350880939669
2019-10-12,2-39-129-17,1,4.92265748709122
2019-10-12,2-39-131-30,1,3.15207691220133
2019-10-12,2-39-139-28,1,0.885
2019-10-12,2-39-78-363,1,3.53502235323017
2019-10-12,2-39-78-364,1,3.13570409882089
2019-10-12,2-39-78-365,1,0.0702546882919412
2019-10-12,2-39-78-366,1,3.51170740915526
2019-10-12,2-39-79-376,1,0.485655857740586
2019-10-12,2-39-79-377,1,1.62283897605285
2019-10-12,2-39-79-383,1,0.265339982653946
2019-10-12,2-39-89-25,1,2.8010583357439
2019-10-12,2-39-95-27,1,1.38972275013974
2019-10-13,2-39-123-23,1,2.76241814228021
2019-10-13,2-39-124-22,1,0.389643068282589
2019-10-13,2-39-128-18,1,1.64320749665328
2019-10-13,2-39-131-30,2,1.6455
2019-10-13,2-39-138-29,1,1.43439220847591
2019-10-13,2-39-139-28,3,2.58668261664096
2019-10-13,2-39-78-363,1,3.23563692162417
2019-10-13,2-39-92-442,1,0.448376811594203
2019-10-14,2-39-123-23,2,3.15745236284804
2019-10-14,2-39-124-22,1,2.12590283190439
2019-10-14,2-39-125-21,1,0.875
2019-10-14,2-39-126-20,1,4.65003860052562
2019-10-14,2-39-129-17,1,0.894
2019-10-14,2-39-139-28,2,1.09405620060647
2019-10-14,2-39-78-363,1,1.59593878010353
2019-10-14,2-39-78-366,1,3.371475029036
2019-10-14,2-39-78-367,1,0.126806986178918
2019-10-14,2-39-79-376,1,5.7792908847185
2019-10-14,2-39-79-378,1,0.0516273740310078
2019-10-14,2-39-79-379,1,0.0673891807406764
2019-10-14,2-39-79-383,1,1.07308084528194
2019-10-14,2-39-88-24,1,3.42831024590164
2019-10-14,2-39-88-438,1,0.770406413682523
2019-10-14,2-39-89-25,1,0.381882729211088
2019-10-14,2-39-89-439,1,1.38899344118933
2019-10-14,2-39-90-26,1,1.18783564313556
2019-10-14,2-39-90-440,1,5.24131264144843
2019-10-14,2-39-91-437,2,2.14685280917888
2019-10-14,2-39-91-441,1,0.100672224515064
