"date","session_time","stationID","number_of_users","average_power_usage"
4302493-08-16,"1570734000","2-39-92-436",1,6.25003017501509
4302503-06-26,"1570737600","2-39-78-365",1,6.36278247199843
4302700-08-12,"1570809600","2-39-79-380",1,0.605861456483126
4302710-06-21,"1570813200","2-39-79-380",1,0.790221066319896
4303282-02-21,"1571022000","2-39-139-28",1,2.27531030569544
4303429-12-28,"1571076000","2-39-123-23",1,5.24568764568765
4303429-12-28,"1571076000","2-39-91-437",1,6.49589533932952
4303449-09-14,"1571083200","2-39-88-438",1,6.5411865312667
4303646-10-31,"1571155200","2-39-95-27",1,1.7225636523266
4303686-04-04,"1571169600","2-39-79-380",1,0.148105185549275
4303903-02-07,"1571248800","2-39-123-23",1,3.14558972625887
4304248-01-29,"1571374800","2-39-138-29",1,1.84823962165003
4304376-03-18,"1571421600","2-39-95-27",1,4.22457831325301
4305085-11-16,"1571680800","2-39-88-24",1,1.20323076923077
4305085-11-16,"1571680800","2-39-90-26",1,6.80884353741497
4305302-09-20,"1571760000","2-39-125-21",1,0.84133704735376
4305332-04-15,"1571770800","2-39-78-366",1,6.01824069790497
4305411-02-21,"1571799600","2-39-131-30",1,6.10915795943454
4305558-12-27,"1571853600","2-39-78-366",1,6.00435635792779
4305568-11-04,"1571857200","2-39-90-26",1,3.31652605459057
4305578-09-13,"1571860800","2-39-79-380",1,0.23179988952892
4306071-07-10,"1572040800","2-39-78-367",1,0.157190402861259
4306091-03-27,"1572048000","2-39-139-28",1,6.73651329674968
4306505-03-17,"1572199200","2-39-139-28",1,6.83793405310767
4306574-03-15,"1572224400","2-39-131-30",1,2.80875
4306761-06-23,"1572292800","2-39-78-363",1,2.94819177759453
4306781-03-10,"1572300000","2-39-78-367",1,6.0978670012547
4306791-01-17,"1572303600","2-39-90-26",1,6.61000725163162
4307067-01-10,"1572404400","2-39-131-30",1,6.77145102147721
4307195-02-28,"1572451200","2-39-78-363",1,6.66516072980017
4307244-06-10,"1572469200","2-39-79-380",1,0.180137509549274
4307697-11-02,"1572634800","2-39-78-361",1,3.8
4307697-11-02,"1572634800","2-39-78-366",1,3.43918053777209
4307717-07-21,"1572642000","2-39-78-364",1,1.60485021398003
4307717-07-21,"1572642000","2-39-91-441",1,6.26430693708823
4308407-07-04,"1572894000","2-39-90-26",1,0.718833873206849
4308427-03-21,"1572901200","2-39-131-30",1,1.51745721271394
4308900-04-30,"1573074000","2-39-78-367",1,2.45738995070483
4309087-08-08,"1573142400","2-39-89-25",1,0.57125
4309097-06-16,"1573146000","2-39-123-23",1,1.14259193145305
4309107-04-26,"1573149600","2-39-123-23",1,1.32470187393526
4309117-03-04,"1573153200","2-39-78-363",1,1.81074335322843
4309117-03-04,"1573153200","2-39-78-365",1,0.417546468401487
4309117-03-04,"1573153200","2-39-88-24",1,6.76337760910816
4309146-09-28,"1573164000","2-39-90-26",1,0.382560214094558
4309146-09-28,"1573164000","2-39-90-440",1,3.64227212681638
4309156-08-06,"1573167600","2-39-89-25",1,0.327093811502296
4309156-08-06,"1573167600","2-39-95-444",1,2.17570322054627
4309343-11-14,"1573236000","2-39-90-26",1,0.490449737897009
4309383-04-18,"1573250400","2-39-78-367",1,6.16050217286335
4309649-06-02,"1573347600","2-39-131-30",1,5.58434637801832
4310053-07-14,"1573495200","2-39-78-362",1,3.17053182214473
4310073-03-31,"1573502400","2-39-79-376",1,2.05532056250692
4310092-12-16,"1573509600","2-39-78-361",1,0.165497808390733
4310112-09-03,"1573516800","2-39-78-361",1,0.585857062040355
4310270-05-18,"1573574400","2-39-79-380",1,0.526315789473684
4310349-03-25,"1573603200","2-39-78-367",1,2.80193027378373
4310487-03-21,"1573653600","2-39-131-30",1,0.114714596089275
4310536-07-02,"1573671600","2-39-124-22",1,0.976607470912431
4310605-07-01,"1573696800","2-39-139-28",1,3.06906139366203
4310792-10-08,"1573765200","2-39-78-367",1,2.82954177897574
4310999-10-03,"1573840800","2-39-78-361",1,2.47628083491461
4311532-01-03,"1574035200","2-39-79-376",1,4.65253959584926
